pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
11 Com b,Radial Velocity,0,1.210000,5434.70000,,,,,2.60,,,,,
11 Com b,Radial Velocity,0,1.290000,6165.60000,,0.231000,4742.00,19.00,2.70,-0.350,2.243,2.31,,
11 UMi b,Radial Velocity,0,1.540000,3337.07000,,0.080000,4340.00,24.08,1.80,0.040,,1.60,1.560,
11 UMi b,Radial Velocity,0,1.510000,3432.40000,,,,,1.70,,,,,
11 UMi b,Radial Velocity,0,1.530000,4684.81420,,0.080000,4213.00,29.79,2.78,-0.020,,1.93,,
14 And b,Radial Velocity,0,0.830000,1525.50000,,0.000000,4813.00,11.00,2.20,-0.240,1.763,2.63,,
14 And b,Radial Velocity,0,0.680000,1017.00000,,,,,1.20,,,,,
14 Her b,Radial Velocity,0,2.864000,1581.13800,,0.359000,5280.00,1.00,0.91,0.400,-0.153,4.40,,1.2739
14 Her b,Radial Velocity,0,2.930000,1481.08780,,0.370000,5338.00,0.93,0.90,0.410,,4.45,,
14 Her b,Radial Velocity,0,2.800000,1506.45000,,0.338000,5255.00,,0.90,0.510,-0.150,4.40,3.900,
14 Her b,Radial Velocity,0,2.730000,1440.66300,,0.357000,,,0.90,,,,,
14 Her b,Radial Velocity,0,2.830000,1541.46777,,0.367400,5314.94,1.00,0.97,0.405,,4.43,,
14 Her b,Radial Velocity,0,2.770000,1474.67000,,0.369000,,,,,,,,
14 Her b,Radial Velocity,0,2.820000,1554.12000,,0.370000,,,1.00,0.350,,,,
16 Cyg B b,Radial Velocity,0,1.676000,556.83537,,0.683200,5711.97,1.16,0.98,0.074,,4.30,,
16 Cyg B b,Radial Velocity,0,1.600000,476.70000,,0.634000,5760.00,,1.00,0.050,,4.35,,
16 Cyg B b,Radial Velocity,0,1.680000,533.93000,,0.689000,5747.00,1.13,1.03,0.060,0.097,4.35,,1.0110
16 Cyg B b,Radial Velocity,0,1.680000,533.93000,,0.689000,,,,,,,,
16 Cyg B b,Radial Velocity,0,1.681000,533.95440,,0.681000,5674.00,,0.99,0.038,,4.36,,
16 Cyg B b,Radial Velocity,0,1.660000,565.73740,,0.680000,5750.00,1.13,1.08,0.060,,4.36,,
17 Sco b,Radial Velocity,0,1.450000,1373.01872,,0.060000,4157.00,25.92,1.22,-0.010,2.254,1.70,5.130,
18 Del b,Radial Velocity,0,2.540000,3127.30000,,,,,2.10,,,,,
18 Del b,Radial Velocity,0,2.600000,3273.50000,,0.080000,4979.00,8.50,2.30,-0.052,1.602,2.82,,
1RXS J160929.1-210524 b,Imaging,0,330.000000,,,,4060.00,,0.85,,-0.370,,0.010,
1RXS J160929.1-210524 b,Imaging,0,330.000000,,,,4060.00,,0.85,,-0.370,,0.005,
1RXS J160929.1-210524 b,Imaging,0,330.000000,,,,3993.00,1.31,0.62,,-0.403,4.00,,0.3879
1RXS J160929.1-210524 b,Imaging,0,330.000000,,,,4060.00,1.35,0.85,,,,0.005,
24 Boo b,Radial Velocity,0,0.190000,289.22530,,0.042000,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,
