rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
1,WASP-80 b,3.6000,,0.455000,0.100000,-0.100000,0,901,68,-72,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
2,WASP-80 b,4.5000,,0.944000,0.064000,-0.065000,0,888,58,-57,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
3,HAT-P-13 b,3.6000,,0.066200,0.011300,-0.011300,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
4,HAT-P-13 b,4.5000,,0.142600,0.013000,-0.013000,0,,,,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
5,XO-3 b,4.5000,,0.158000,0.003600,-0.003600,0,,,,,<a refstr=WONG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..134W/abstract target=ref>Wong et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
6,WASP-12 b,1.1250,0.0500,0.119000,0.017000,-0.017000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
7,WASP-12 b,1.1750,0.0500,0.128000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
8,WASP-12 b,1.2250,0.0500,0.101000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
9,WASP-12 b,1.2750,0.0500,0.142000,0.011000,-0.011000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
10,WASP-12 b,1.3250,0.0500,0.154000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
11,WASP-12 b,1.3750,0.0500,0.156000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
12,WASP-12 b,1.4250,0.0500,0.184000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
13,WASP-12 b,1.4750,0.0500,0.198000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
14,WASP-12 b,1.5250,0.0500,0.196000,0.013000,-0.013000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
15,WASP-12 b,1.5750,0.0500,0.179000,0.014000,-0.014000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
16,WASP-12 b,1.6250,0.0500,0.192000,0.017000,-0.017000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
17,WASP-12 b,3.6000,,0.421000,0.011000,-0.011000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
18,WASP-12 b,4.5000,,0.428000,0.012000,-0.012000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
19,WASP-12 b,5.8000,,0.696000,0.060000,-0.060000,0,,,,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
