# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:14:16 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
11 Com b,0,,1.210000,,5434.70000,,,,,,,,2.60,,,,,
11 Com b,0,326.03000000,1.290000,,6165.60000,,0.231000,,,G8 III,4742.00,19.00,2.70,-0.350,2.243,2.31,,
11 UMi b,0,516.22000000,1.540000,,3337.07000,,0.080000,,,K4 III,4340.00,24.08,1.80,0.040,,1.60,1.560,
11 UMi b,0,,1.510000,,3432.40000,,,,,,,,1.70,,,,,
11 UMi b,0,516.21997000,1.530000,,4684.81420,,0.080000,,,,4213.00,29.79,2.78,-0.020,,1.93,,
14 And b,0,185.84000000,0.830000,,1525.50000,,0.000000,,,K0 III,4813.00,11.00,2.20,-0.240,1.763,2.63,,
14 And b,0,,0.680000,,1017.00000,,,,,,,,1.20,,,,,
14 Her b,0,1766.00000000,2.864000,,1581.13800,,0.359000,,,,5280.00,1.00,0.91,0.400,-0.153,4.40,,1.2739
14 Her b,0,1773.40002000,2.930000,,1481.08780,,0.370000,,,,5338.00,0.93,0.90,0.410,,4.45,,
14 Her b,0,1796.40000000,2.800000,,1506.45000,,0.338000,,,,5255.00,,0.90,0.510,-0.150,4.40,3.900,
14 Her b,0,,2.730000,,1440.66300,,0.357000,,,,,,0.90,,,,,
14 Her b,0,1766.41000000,2.830000,,1541.46777,,0.367400,,,,5314.94,1.00,0.97,0.405,,4.43,,
14 Her b,0,1773.40000000,2.770000,,1474.67000,,0.369000,,,K0 V,,,,,,,,
14 Her b,0,1724.00000000,2.820000,,1554.12000,,0.370000,,,K0 V,,,1.00,0.350,,,,
16 Cyg B b,0,799.45000000,1.676000,,556.83537,,0.683200,,,,5711.97,1.16,0.98,0.074,,4.30,,
16 Cyg B b,0,800.80000000,1.600000,,476.70000,,0.634000,,,G2.5 V,5760.00,,1.00,0.050,,4.35,,
